COLLEGE,"CONTROL NUMBER",TITLE,"TOP CODE","CIP CODE",GOAL,AWARD,"SUB AWARD","APPROVED DATE","CERT UNITS","MAJOR UNITS",STATUS
DESERT,36131,"Agriculture Office Professional","0103.00* Plant Science","01.0304 Crop Production.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-01-10,29.00-29.00/29.00-29.00,,Active
DESERT,36128,"Agriculture Pest Management","0103.00* Plant Science","01.0304 Crop Production.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-01-10,26.00-26.00/26.00-26.00,,Active
DESERT,36139,"Agriculture Technician","0103.00* Plant Science","01.0304 Crop Production.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-01-12,29.00-29.00/29.00-29.00,,Active
DESERT,36094,"General Business","0501.00* Business and Commerce, General","52.0101 Business/Commerce, General.","C - CTE","A.S. Degree",,,,36.00-36.00/37.00-37.00,Approved
"IMPERIAL VALLEY",36151,Chemistry,"1905.00 Chemistry, General","40.0501 Chemistry, General.","T - Transfer","A.S. T Degree","ADT Degree",2018-01-16,,36.00-36.00/36.00-36.00,Active
CERRITOS,36103,"Automotive Technology: Alternative Fuels Service Technician","0948.40* Alternative Fuels and Advanced Transportation Technology","47.0614 Alternative Fuel Vehicle Technology/Technician.","C - CTE","A.S. Degree",,,,20.00-20.00/20.00-20.00,Active
"RIO HONDO",36267,"Nutrition and Dietetics","1306.00* Nutrition, Foods, and Culinary Arts","19.0501 Foods, Nutrition, and Wellness Studies, General.","T - Transfer","A.S. T Degree","ADT Degree",2018-02-12,,27.00-27.00/29.00-29.00,Active
CANYONS,36124,"Web Development","0614.30* Website Design and Development","11.0801 Web Page, Digital/Multimedia and Information Resources Design.","C - CTE","A.S. Degree",,2018-01-10,,34.00-34.00/34.00-34.00,Active
"RIO HONDO",36955,"Computer Information Technology: Office Technologies","0702.00* Computer Information Systems","11.0103 Information Technology.","C - CTE","A.S. Degree",,2018-08-07,,21.00-21.00/21.00-21.00,Active
CANYONS,36125,"Web Development","0614.30* Website Design and Development","11.0801 Web Page, Digital/Multimedia and Information Resources Design.","C - CTE","Certificate of Achievement requiring 16S/24Q to fewer than 30S/45Q units",,2018-01-10,24.00-24.00/24.00-24.00,,Active
CANYONS,36156,"Web Publishing and Design","0614.30* Website Design and Development","11.0801 Web Page, Digital/Multimedia and Information Resources Design.","C - CTE","A.S. Degree",,2018-01-17,,35.50-35.50/35.50-35.50,Active
